id;peak1;n_visitas1;standv1;MAD1;cov1;peak2;n_visitas2;standv2;MAD2;cov2;diff_visita;diff_peak
70169433;8;6;0.9797958971132712;0.0;0.0;14;8;1.385.051.387.833.230;0.0;0.0;-2;-6
310010596;2;4;0.4714045207910317;0.0;0.0;8;6;0.7483314773547882;1.0;0.125;-2;-6
130023013;8;5;0.82915619758885;0.5;0.0625;15;7;1.795.054.935.711.500;0.5;0.03333333333333333;-2;-7
310007636;8;7;39.860.869.143.671.300;2.0;0.25;16;9;6.223.694.642.252.300;6.0;0.375;-2;-8
92264;4;5;2.947.456.530.637.890;2.0;0.5;13;7;19.720.265.943.665.300;1.0;0.07692307692307693;-2;-9
130004050;3;6;12.649.110.640.673.500;0.0;0.0;13;8;15.118.578.920.369.000;1.0;0.07692307692307693;-2;-10
130008257;2;8;0.9897433186107869;1.0;0.5;12;10;22.166.597.048.066.600;1.0;0.08333333333333333;-2;-10
130025344;2;4;0.9428090415820634;0.0;0.0;12;6;2.4;1.0;0.08333333333333333;-2;-10
130000329;6;5;248.746.859.276.655;1.5;0.25;17;7;3.265.986.323.710.900;1.5;0.08823529411764706;-2;-11
130017565;2;9;1.299.038.105.676.650;0.0;0.0;13;11;20.024.984.394.500.700;2.0;0.15384615384615385;-2;-11
130032725;13;4;14.142.135.623.730.900;0.0;0.0;24;6;26.832.815.729.997.400;3.0;0.125;-2;-11
19244;2;6;16.000.000.000.000.000;0.0;0.0;14;8;5.417.281.493.102.440;6.0;0.42857142857142855;-2;-12
130013796;13;4;2.160.246.899.469.280;1.0;0.07692307692307693;28;6;19.595.917.942.265.400;1.0;0.03571428571428571;-2;-15
130066483;7;6;1.6;0.0;0.0;22;8;26.186.146.828.319.000;2.0;0.09090909090909091;-2;-15
200130792;4;4;30.912.061.651.652.300;1.0;0.25;21;6;4.4;2.0;0.09523809523809523;-2;-17
125304;12;5;1.118.033.988.749.890;1.0;0.08333333333333333;34;7;413.991.411.612.474;3.5;0.10294117647058823;-2;-22
130178027;11;3;1.5;1.5;0.13636363636363635;33;5;3.832.427.429.188.970;3.5;0.10606060606060606;-2;-22
71203;2;8;1.749.635.530.559.410;0.0;0.0;26;10;2.006.163.342.807.530;0.0;0.0;-2;-24
151032534;6;5;1.118.033.988.749.890;1.0;0.16666666666666666;33;7;33.499.585.403.736.300;3.5;0.10606060606060606;-2;-27
110098889;2;4;14.142.135.623.730.900;0.0;0.0;30;6;23.664.319.132.398.400;2.0;0.06666666666666667;-2;-28
98235;2;9;2.521.780.125.229.000;0.5;0.25;7;10;2.581.988.897.471.610;1.0;0.14285714285714285;-1;-5
98237;2;10;2.543.449.587.168.790;1.0;0.5;7;11;27.730.849.247.724.000;1.5;0.21428571428571427;-1;-5
70053321;2;10;2.449.489.742.783.170;3.0;1.5;7;11;2.891.366.458.960.190;1.5;0.21428571428571427;-1;-5
110068478;8;11;18.681.541.692.269.400;1.5;0.1875;13;12;21.780.270.092.201.700;2.0;0.15384615384615385;-1;-5
110086831;2;13;3.817.903.729.651.760;3.0;1.5;7;14;43.947.251.867.956.000;5.0;0.7142857142857143;-1;-5
150207885;2;10;2.449.489.742.783.170;3.0;1.5;7;11;2.891.366.458.960.190;1.5;0.21428571428571427;-1;-5
71351;15;5;20.615.528.128.088.300;0.5;0.03333333333333333;21;6;10.954.451.150.103.300;1.0;0.047619047619047616;-1;-6
130014823;5;12;32.192.602.199.319.500;2.0;0.4;11;13;34.510.465.401.414.400;2.5;0.22727272727272727;-1;-6
130033074;4;15;37.032.803.990.902.000;3.5;0.875;10;16;4.096.611.065.529.920;3.0;0.3;-1;-6
310010862;8;5;0.82915619758885;0.5;0.0625;14;6;0.7483314773547882;1.0;0.07142857142857142;-1;-6
65919;2;12;3.886.828.786.623.990;1.0;0.5;9;13;5.314.419.587.834.170;1.0;0.1111111111111111;-1;-7
65921;2;9;4.357.106.264.483.340;3.5;1.75;9;10;5.656.854.249.492.380;5.0;0.5555555555555556;-1;-7
40019867;7;5;0.4330127018922193;0.0;0.0;14;6;10.954.451.150.103.300;1.0;0.07142857142857142;-1;-7
70010062;7;10;0.816496580927726;0.0;0.0;14;11;10.049.875.621.120.800;0.5;0.03571428571428571;-1;-7
